Description,GeoName,Unit,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Electrical equipment, appliance, and component manufacturing",Kentucky,Millions of current dollars,1215.2,1161.6,1129.9,1140.8,1047.9,1164.9,1116.7,903,864.5,1027.5,1243.4,1673.4,1354.1,1395.8,1296.2,1438.5,1707.4,1435,1605.9,1351.1,1630.8,2027.4,2026.7,2217,2564.4,
"Motor vehicles, bodies and trailers, and parts manufacturing",Kentucky,Millions of current dollars,7653.9,8625.4,9885.6,5880.7,5915.5,5295.8,6345.4,6948.8,7101.3,7160.7,6170.5,4466.8,2582.2,5057.3,5121.7,6063.7,5996.1,6974.7,7803.5,8253.4,8220.7,7803.2,8646.6,7773.8,8156.2,
Other transportation equipment manufacturing,Kentucky,Millions of current dollars,189.8,185.9,218.4,244.3,234.2,200.2,226.1,249.6,303.8,319.1,414.9,530.3,557.1,623.3,461,447,520.9,493.7,538.2,638.1,630.6,562.2,597.2,541.9,510.6,
Furniture and related product manufacturing,Kentucky,Millions of current dollars,292.5,291,337,362.1,319.1,290.5,235.9,311,325.4,323.4,300.2,259.9,242,231.5,221.1,224.4,254.7,294.5,307.2,285.5,295.2,294.1,265.6,308.6,323.6,
Miscellaneous manufacturing,Kentucky,Millions of current dollars,599.2,534.1,434.4,424.1,396.1,416.7,348.9,375.2,459.3,434.8,483.5,494.3,337.4,365,354,357.2,332,395.2,336.6,382.5,385,343.9,424.6,419.6,458.2,
Nondurable goods manufacturing,Kentucky,Millions of current dollars,11695.1,11731.6,11870.7,10298,10163.8,10644.8,10409.7,10452.8,10821.4,12264,12284.4,12792.1,13505.5,13769.1,13652.6,16125.4,17243.4,15950.8,15013.8,14553.3,15738.1,16584.8,17666,17619.3,19070.9,
Food and beverage and tobacco product manufacturing,Kentucky,Millions of current dollars,5338.7,5167.9,5224,3833.3,3788.3,3968.5,3672,3647,3804.3,4157.7,4593,4953.6,5609.4,5593.3,5781.7,6693.2,6820.9,7063.9,7099.5,7107.3,7590.4,7490.8,8328.8,9544,9787.4,
Textile mills and textile product mills,Kentucky,Millions of current dollars,180.5,230.9,250.7,233,198.7,192.1,129.4,128.9,106,108.1,114.6,116.5,103.6,99.7,93.4,116.9,142.4,166.2,185,179.7,186.2,161.6,150.3,152,159.2,
"Apparel, leather, and allied product manufacturing",Kentucky,Millions of current dollars,771.9,617.8,424.9,522.3,395.5,514.8,469.7,429.7,234.2,124.4,103.6,97.7,87.6,94.2,84.4,82.8,79.2,66.1,56.4,51.4,57.1,57.5,55.9,47.7,60.8,
Paper manufacturing,Kentucky,Millions of current dollars,968.2,1043.1,1094.3,1319.8,1254.3,1368.8,1271.3,1189.6,1152.1,1434.7,1345.8,1275.5,1640.5,1405.9,1233.9,1345.2,1340.5,1579.4,1477.9,1621.1,1192.8,1604.3,1294.1,1268.5,1314.3,
Printing and related support activities,Kentucky,Millions of current dollars,688.2,665.7,755.3,791.5,761.4,744.8,719.7,734.1,754.8,820.7,793.8,802.2,805.5,913.1,897.5,726.9,763.2,760.2,774.3,764.9,743,713.5,701.6,590.2,540.9,
Petroleum and coal products manufacturing,Kentucky,Millions of current dollars,507.7,542.1,352.1,443.5,736.1,569.2,681.7,1041.5,1254.5,1396.3,1394.1,1682,1408.2,1291.4,1395.7,2072.9,2870.1,2113.8,1715.8,845.6,1435.3,2392.7,1961.9,630.1,1318.2,
Chemical manufacturing,Kentucky,Millions of current dollars,2258.4,2375.6,2572.3,2005.6,1843.9,1951.2,2123.5,1938.2,2269.3,2901.2,2484,2673.4,2675.3,3242.9,3010,3746.2,3891.4,2856.8,2036.4,2232,2826,2382.3,3149.5,3490.2,3835.5,
Plastics and rubber products manufacturing,Kentucky,Millions of current dollars,981.5,1088.7,1197.1,1148.9,1185.6,1335.5,1342.5,1343.9,1246.1,1320.9,1455.5,1191.3,1175.5,1128.6,1156,1341.3,1335.8,1344.5,1668.4,1751.4,1707.2,1782.1,2023.8,1896.6,2054.6,
Wholesale trade,Kentucky,Millions of current dollars,5825.1,6264.3,6629.1,7125.4,7234.9,7232.8,7560.2,8281.2,9030.6,9752.6,10547.6,10828.3,10164.9,10790.2,11053.4,11638.4,12241.3,13032.8,13647.8,13904.5,14331.3,15164.2,16233.7,15854.1,18105.8,
Retail trade,Kentucky,Millions of current dollars,6894.9,7447.4,7668.5,8009.2,8068.8,8426.8,8850.8,8937,9465.4,9658.2,9656.6,9612.5,9488.2,9803.2,9964.5,10293.5,10373.9,10413.8,10994.5,11562.1,11792.4,12032.4,12619.8,13262.8,15023.5,
Transportation and warehousing,Kentucky,Millions of current dollars,4120.3,4758.2,5133.4,5482.1,5484.7,5514.9,5861.7,6237.3,6949.1,7160.2,7133.6,7328.8,6920.2,7226,7429,7633.9,7645.6,8007.8,8771.1,8996.2,9405.6,9997.6,10377.5,10474.5,12048.0,
Air transportation,Kentucky,Millions of current dollars,645.3,668.1,725.7,727.6,632.6,696.9,857.2,704.6,891,725.1,710.1,668.6,635.5,594.3,530.3,525.3,411.9,415.2,447.5,469.2,506.6,518.6,589.8,240.9,486.4,
Rail transportation,Kentucky,Millions of current dollars,389.4,428,433,452.9,420.7,401.1,428.4,453.6,497.3,573.8,564.6,631.2,561.6,569.9,615.7,656.7,661.4,702.2,721.9,611,619.4,640.4,632.2,588.9,626.5,
Water transportation,Kentucky,Millions of current dollars,79.7,77.5,81.8,96.2,93.4,87.2,112.8,115.7,131.7,201.3,231.5,315.2,303.7,322.8,358.8,327.6,545.1,643.8,794.5,602,573.3,574.7,570.3,553.7,668.5,
Truck transportation,Kentucky,Millions of current dollars,1159.8,1344.4,1482,1522.8,1514.8,1503.4,1561.4,1715.6,1840,1917.5,1854.4,1781.5,1623.8,1651.8,1741.6,1804,1843,1978.7,2089.1,2163,2221.1,2364.3,2466,2421.3,2693.4,
Transit and ground passenger transportation,Kentucky,Millions of current dollars,73.8,84,88.5,87.2,92.6,88.3,96.8,128.3,132.8,135.6,140,149.6,152.9,148.6,164.1,169.9,174,181.5,184,172.4,163.6,155.8,139.4,112.1,117.5,
Pipeline transportation,Kentucky,Millions of current dollars,90.8,154.8,149.4,107.5,113.4,130.1,132.3,130.1,144,148.1,153.3,178.7,174.8,198.6,169.5,188.3,191.3,188.6,206.1,217.3,194.9,211.4,199.8,206.7,230.4,
Other transportation and support activities,Kentucky,Millions of current dollars,1305.9,1515.8,1681.2,1926.6,2077.6,2049.5,2090.1,2310.9,2459.4,2570.6,2552.5,2571.1,2526.2,2766.4,2813.5,2840.1,2701.6,2764.7,3012.3,3250.3,3524.3,3850.9,4030.6,4424.5,5065.4,
Warehousing and storage,Kentucky,Millions of current dollars,375.6,485.6,491.8,561.3,539.6,558.5,582.9,678.5,852.7,888.4,927.2,1032.8,941.5,973.6,1035.5,1122,1117.2,1133.2,1315.7,1510.9,1602.4,1681.4,1749.5,1926.3,2159.8,
Information,Kentucky,Millions of current dollars,2513.3,2641.8,2661.2,2632.1,2966.9,3418.9,3505.2,3841.8,4021.9,4065.4,4091.4,4904.4,5468.9,5441.6,5169.1,4459.1,4413.4,4683.1,4627.8,4637,4718.3,4547.8,4900.1,4998.4,5336.1,
Publishing industries (except Internet),Kentucky,Millions of current dollars,482.5,481.2,595.1,453,489.6,642.5,613.8,719.4,775.7,664.7,738.6,732.4,680.2,682,727.1,704.5,672.7,628.5,589.3,570.6,536.8,555.0,652,742.4,802.8,
