Description,GeoName,Unit,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Motor vehicles, bodies and trailers, and parts manufacturing",Nebraska,Millions of current dollars,335.6,342.7,360.7,476.7,443.9,468,473.4,474.4,431.8,425.2,411.2,330.4,197.4,410.6,557.5,573.2,531.4,550.8,594.3,547,531.8,723.8,712.5,628.5,693.6,
Other transportation equipment manufacturing,Nebraska,Millions of current dollars,72.9,80.1,104.5,81.9,118.3,98.5,81.5,93.1,116.3,112.8,122.6,121.9,109.8,111.9,118.2,119.5,100.5,88.6,104.4,107.2,114.1,129.0,143.4,141.1,144.3,
Furniture and related product manufacturing,Nebraska,Millions of current dollars,172.5,209.6,189.4,193.4,203.9,212.2,208.7,234,224.6,221.3,239.3,132.8,126.2,142.5,141.5,93.2,84.2,90.3,96.3,126.5,95.4,97.1,102.2,85,88.8,
Miscellaneous manufacturing,Nebraska,Millions of current dollars,647.9,613.5,630.3,651.4,640.8,698.3,789.8,798.9,590.6,699.9,894.7,1086.1,1189.4,1143.9,1296.3,1289.8,1216.3,1178.8,1137.6,1267.6,1388.9,1368.2,1317,1373.9,1453.3,
Nondurable goods manufacturing,Nebraska,Millions of current dollars,3304.2,3275.2,3537.3,3750.9,4050.3,3627,3715.6,3477.7,3896.6,4937,4510.2,5283.8,6308.1,6455.9,6547.8,6951.9,6882.9,7245.1,7073.3,7092.9,6682.6,7936.7,8774.5,9557.1,10448.7,
Food and beverage and tobacco product manufacturing,Nebraska,Millions of current dollars,1823.4,1625,1817.5,2144.9,2465.5,2155.8,2174.3,2040.7,2412.4,2940.8,2505.1,3375.2,3920.3,3635.5,3121.1,3307.1,3228,3466.1,3879.5,4038.7,3931,4826.1,5372.9,6156.8,6555.1,
Textile mills and textile product mills,Nebraska,Millions of current dollars,25.2,27.1,30.4,33.4,33,34.9,26.6,31.5,26.4,31.4,32.8,33.8,35.5,35.3,29.7,34.6,33.1,37.4,42.5,51.1,68.1,57.7,38.6,40.6,34.7,
"Apparel, leather, and allied product manufacturing",Nebraska,Millions of current dollars,42,32.5,29.2,45.5,43.7,17.2,15.3,14.9,15.1,14.8,10.9,14.1,13.6,17.5,46,47.1,50.4,47,47,50.4,59.6,64.9,60.1,59.1,64.6,
Paper manufacturing,Nebraska,Millions of current dollars,107.4,126.4,122.2,155.6,123.8,118.3,112.9,127.4,124.2,126.1,133.4,120.8,136.7,167.5,155.9,128,127.5,144,149.8,132.2,125,152.1,151.8,135.4,161.0,
Printing and related support activities,Nebraska,Millions of current dollars,230,234.9,225.2,263.5,266.6,274.7,260.6,256.9,308.5,321.9,298.9,294.8,267.7,275.4,251.9,255.8,256.2,239.4,239.2,231.3,255.3,156.4,183.8,148.9,154.5,
Petroleum and coal products manufacturing,Nebraska,Millions of current dollars,2.5,2.4,1.9,2.2,1.5,1.6,3.1,2.5,3.1,4,8.7,11.5,5.6,3.6,10.4,7.6,9.7,11.6,11.3,5.7,7.5,12.4,10,6.1,12.3,
