Description,GeoName,Unit,,,,,,,,,,,,,,,,,,,,,,,,,,0
Furniture and related product manufacturing,District of Columbia,Millions of current dollars,6.9,7.9,8.8,9.1,8.6,7.9,7.9,8.2,8.9,9.4,9.4,8.2,9.3,8.9,11.7,11.6,9.8,7.5,12.7,15.1,10.4,10.5,11,11.7,10.5,
Miscellaneous manufacturing,District of Columbia,Millions of current dollars,21.1,18,16.1,16,10.7,10.8,10.3,10.7,4.9,5.1,4.2,5.5,5.7,5.4,4.7,4.6,6.7,6.4,6.4,12.7,7.1,13.9,15.4,6.3,7.2,
Nondurable goods manufacturing,District of Columbia,Millions of current dollars,178.7,187.6,152,159.5,183.7,147.2,161.8,174.5,161.4,156.9,174.7,170.5,171.1,170.4,213.8,157.9,153.8,127.4,139,143.5,143.8,131.6,131.8,122.3,147.9,
Food and beverage and tobacco product manufacturing,District of Columbia,Millions of current dollars,25.2,23.9,31.1,31.6,22.8,25,24.3,25.2,22.5,13.2,11.6,11.2,11.8,12.5,21.1,27.8,25.2,22.7,33.1,36.6,35.9,33.2,35.8,34.9,45.7,
Textile mills and textile product mills,District of Columbia,Millions of current dollars,5.4,5.1,5,5.3,2.3,2.5,1.8,2.4,2.2,2.4,2.6,3.2,2.7,2,1.2,1.8,1.8,2.3,3.2,3.4,4.3,4.5,4.7,2.8,2.2,
"Apparel, leather, and allied product manufacturing",District of Columbia,Millions of current dollars,1.5,1.2,0.9,1.5,0.6,0.6,0.6,0.4,0.5,0.4,0.4,0.6,0.7,0.7,0.9,1,1.1,1.1,1.5,1.2,1.2,1.2,1.3,0.5,0.6,
Paper manufacturing,District of Columbia,Millions of current dollars,0.8,1,0.9,1,0.9,1,0.8,0.4,0.3,0.3,0.2,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.9,
Printing and related support activities,District of Columbia,Millions of current dollars,60.7,66.4,36.7,39.1,41.3,37,38.7,41.7,43.4,44.6,47.6,50.8,44.5,39.6,28.5,30.3,32.3,31.3,32.5,34.9,30.4,28.4,23,12.2,10.7,
Petroleum and coal products manufacturing,District of Columbia,Millions of current dollars,19.3,20.5,12.5,18.5,37.5,20.5,28,57.6,47.1,49.7,59,45.2,34.5,49.3,72.5,1.4,0.1,0.6,0.9,(L),(L),0.1,0.2,0.1,0.2,
Chemical manufacturing,District of Columbia,Millions of current dollars,64.6,68.7,64.1,62.5,77.8,60.2,66.8,46.6,45.4,46.2,52.9,59.3,76.6,65.9,89.2,95.2,92.8,68.9,67.3,66.8,71.2,63.6,66.1,71,87.4,
Plastics and rubber products manufacturing,District of Columbia,Millions of current dollars,1.2,0.8,0.7,(L),0.6,0.6,0.8,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.2,
Wholesale trade,District of Columbia,Millions of current dollars,583.2,579.2,629.8,619,574.7,565.3,648.8,687.4,737.9,758.5,817.2,861.4,843.6,938,957.5,1087.4,1113.6,1187.5,1235.1,1214.3,1249.2,1254.9,1468.4,1535.2,1691.7,
Retail trade,District of Columbia,Millions of current dollars,726.3,776.3,792.9,788.8,802,830.2,908.9,949.4,1004.2,1050.4,1070.7,1056.4,1036.2,1154.1,1183,1235.1,1283.7,1360.7,1445.7,1555.3,1587.9,1653.0,1685.6,1574.5,1654.9,
Transportation and warehousing,District of Columbia,Millions of current dollars,328,369.1,395.2,416.2,445.2,384.8,390.2,393.8,397.4,408.3,407.9,462,447,473.6,525.2,616.7,581.4,629.2,733.5,754.9,732.1,722.4,716.7,487.9,460.1,
Air transportation,District of Columbia,Millions of current dollars,36.3,51.4,54.4,31.4,31.2,22.8,23.3,21.3,22.7,20.5,28.2,40.2,28.7,31.5,33.2,34.1,35.5,44.1,64.4,83.9,38.9,18.8,23.8,10.5,12.4,
Rail transportation,District of Columbia,Millions of current dollars,132.6,140.5,149.7,158,193.1,168.1,176.9,184.6,187.3,189.4,194,227,221.3,225.6,244.7,318.9,289.2,322.4,329.1,333.9,342.2,341.9,370.1,211.5,161.0,
Water transportation,District of Columbia,Millions of current dollars,11,10.9,11.3,12.6,14.2,11.3,13.7,14.9,14.2,17.7,15.6,17.9,21,15.8,12.8,7.7,15.6,2.9,10,3.5,3.3,3.6,4.3,4.9,7.0,
Truck transportation,District of Columbia,Millions of current dollars,15.2,14.7,15.5,15.2,15.4,16.5,16.7,14.8,15.1,16.6,16.4,15.5,16.1,20.1,17.3,15.2,15.2,13.6,42,43.8,40.8,47.3,13.3,8.8,8.5,
Transit and ground passenger transportation,District of Columbia,Millions of current dollars,52.8,59.7,68.8,95.4,68.4,65,70.8,71.5,75.4,84.3,86,85.1,86,87.7,105.5,120.6,124.3,137.8,145.3,154.8,169.6,170.4,167.5,135.5,129.9,
Pipeline transportation,District of Columbia,Millions of current dollars,2.1,4.4,3.3,2.4,22.1,8.6,6.1,2,0.4,0.5,1.5,2,2.1,10.8,27.6,41.3,12.3,10.7,21.6,13.9,2.8,3.1,2.5,1.1,1.5,
Other transportation and support activities,District of Columbia,Millions of current dollars,67,70.9,75.2,81.6,78.5,69.3,70.3,71.4,68,69.1,59.6,73.4,71,81.3,83.4,77.9,88,95.2,118.1,119.5,132.4,135.6,132.3,114.3,138.5,
